,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3185610836300693,5.123844524139137e-25,addr_state,24.577726793815792,25.0,0.42227320618420805,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219667445941615,1.0713300128766215e-22,addr_state,40.270945521362506,40.0,-0.27094552136250627,40.0
22,22,verification_status:Not Verified,0.08571636529187038,4.3817314785901284e-09,verification_status,6.6132164792261205,7.0,0.38678352077387945,6.0
23,23,verification_status:Source Verified,-0.01118712584935786,0.40486508153253886,verification_status,-0.8631127179766999,-1.0,-0.13688728202330014,-1.0
24,24,purpose:credit_card,0.301861470082243,1.251864095821496e-26,purpose,23.289312858680503,23.0,-0.2893128586805034,23.0
25,25,purpose:debt_consolidation,0.19808948818000535,2.5001415316668866e-14,purpose,15.283063661563407,15.0,-0.283063661563407,15.0
26,26,purpose:oth__med__vacation,0.21282294119704234,7.732001456377195e-12,purpose,16.419783749453252,16.0,-0.41978374945325214,16.0
27,27,purpose:major_purch__car__home_impr,0.26626270657411866,1.4729558591911424e-17,purpose,20.542785650365364,21.0,0.45721434963463636,21.0
28,28,initial_list_status:w,0.053825582921995095,3.740807789972663e-05,initial_list_status,4.152768619756797,4.0,-0.152768619756797,4.0
29,29,term:36,0.07894201695412513,1.6310854809463396e-08,term,6.090559785715529,6.0,-0.09055978571552892,6.0
30,30,emp_length:1,0.09915808476422108,0.00013144133572847065,emp_length,7.650276326794286,8.0,0.3497236732057143,8.0
31,31,emp_length:2-4,0.12585450150333763,2.5939283997218977e-11,emp_length,9.709966824801882,10.0,0.29003317519811844,10.0
32,32,emp_length:5-6,0.09109329680693165,2.081008267980825e-05,emp_length,7.028059222289165,7.0,-0.028059222289164687,7.0
33,33,emp_length:7-9,0.06114459232105848,0.003286182056481671,emp_length,4.717447177984084,5.0,0.2825528220159157,5.0
34,34,emp_length:10,0.12504247794376602,1.1795617848395219e-11,emp_length,9.647317322954793,10.0,0.35268267704520717,10.0
35,35,mths_since_issue_d:<38,1.0842149127764025,4.71256747858707e-181,mths_since_issue_d,83.64969634189161,84.0,0.3503036581083876,84.0
36,36,mths_since_issue_d:38-39,0.8792018688223681,1.0220553832464818e-149,mths_since_issue_d,67.83246428688616,68.0,0.16753571311383553,68.0
37,37,mths_since_issue_d:40-41,0.77826124009314,5.613262027800164e-124,mths_since_issue_d,60.04466055696192,60.0,-0.04466055696192228,60.0
38,38,mths_since_issue_d:42-48,0.5771738251898207,1.074638129929348e-87,mths_since_issue_d,44.53029989228104,45.0,0.46970010771895687,45.0
39,39,mths_since_issue_d:49-52,0.4156990318365321,8.216940055294291e-41,mths_since_issue_d,32.07214489763756,32.0,-0.07214489763755694,32.0
40,40,mths_since_issue_d:53-64,0.16994589717290717,5.938261628196287e-09,mths_since_issue_d,13.111720310745966,13.0,-0.11172031074596589,13.0
41,41,mths_since_issue_d:65-84,-0.07177844649625209,0.014084987293298575,mths_since_issue_d,-5.537873702482874,-6.0,-0.4621262975171261,-6.0
42,42,int_rate:<9.548,0.8831312938956111,3.5892296317648296e-31,int_rate,68.13562854915709,68.0,-0.1356285491570901,68.0
43,43,int_rate:9.548-12.025,0.5586687828825723,5.9221195753520356e-36,int_rate,43.10259293902461,43.0,-0.10259293902461053,43.0
44,44,int_rate:12.025-15.74,0.30613332796562015,7.24078587072849e-17,int_rate,23.618896606837183,24.0,0.3811033931628174,24.0
45,45,int_rate:15.74-20.281,0.11317438205001108,9.353818502680742e-05,int_rate,8.731666185924372,9.0,0.2683338140756284,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05577214395425209,0.02497743424477962,mths_since_earliest_cr_line,4.302950320211638,4.0,-0.3029503202116377,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03716467703357323,0.06422850618905208,mths_since_earliest_cr_line,2.8673410703621305,3.0,0.13265892963786952,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07948259266715507,0.0024529421447786353,mths_since_earliest_cr_line,6.132266456332116,6.0,-0.13226645633211565,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12204395069870774,1.8912777315732594e-07,mths_since_earliest_cr_line,9.415973988191292,9.0,-0.4159739881912916,9.0
50,50,mths_since_earliest_cr_line:>352,0.12936140368174376,1.0691016292148407e-06,mths_since_earliest_cr_line,9.980532465310546,10.0,0.01946753468945417,10.0
51,51,inq_last_6mths:0,0.666250751594901,3.5320753835052016e-14,inq_last_6mths,51.40279145926493,51.0,-0.4027914592649324,51.0
52,52,inq_last_6mths:1-2,0.5197450956580333,3.2510938282873863e-09,inq_last_6mths,40.099540150807776,40.0,-0.09954015080777623,40.0
53,53,inq_last_6mths:3-6,0.30952648175914665,0.00046105528280468314,inq_last_6mths,23.880686295509694,24.0,0.1193137044903061,24.0
54,54,acc_now_delinq:>=1,0.1803697755470566,0.08867129746960209,acc_now_delinq,13.915946714964623,14.0,0.08405328503537746,14.0
55,55,annual_inc:20K-30K,-0.08151965648501286,0.05299848253193146,annual_inc,-6.289430656699465,-6.0,0.2894306566994649,-6.0
56,56,annual_inc:30K-40K,-0.018923995567451887,0.6401802449314422,annual_inc,-1.4600301694237188,-1.0,0.46003016942371877,-1.0
57,57,annual_inc:40K-50K,0.0756801472541435,0.06121156070979871,annual_inc,5.838898969492694,6.0,0.1611010305073064,6.0
58,58,annual_inc:50K-60K,0.1425474716906895,0.0004994421895456066,annual_inc,10.99786820926126,11.0,0.002131790738740591,11.0
59,59,annual_inc:60K-70K,0.2180969363225958,1.9086510759903867e-07,annual_inc,16.826684711211325,17.0,0.1733152887886753,17.0
60,60,annual_inc:70K-80K,0.29154610290170335,8.745089503441562e-12,annual_inc,22.4934583448391,22.0,-0.49345834483910167,22.0
61,61,annual_inc:80K-90K,0.36739458994498553,1.458075068908602e-16,annual_inc,28.34534511968088,28.0,-0.34534511968087855,28.0
62,62,annual_inc:90K-100K,0.3871969562553892,4.2069167908511325e-17,annual_inc,29.873143630102014,30.0,0.1268563698979861,30.0
63,63,annual_inc:100K-120K,0.46510064913124843,2.3215744971890286e-24,annual_inc,35.88359430384361,36.0,0.11640569615639151,36.0
64,64,annual_inc:120K-140K,0.5523797889158473,1.8576549388328633e-26,annual_inc,42.6173824614585,43.0,0.3826175385415027,43.0
65,65,annual_inc:>140K,0.4915435182624006,4.986817655615502e-25,annual_inc,37.9237230155628,38.0,0.07627698443720021,38.0
66,66,dti:<=1.4,0.25245659144264504,0.0024578909079664,dti,19.477611832149183,19.0,-0.4776118321491829,19.0
67,67,dti:1.4-3.5,0.3715382907165499,1.1005538073017273e-07,dti,28.66504124928439,29.0,0.3349587507156109,29.0
68,68,dti:3.5-7.7,0.38444627363009826,1.7602482382227445e-10,dti,29.660922082854253,30.0,0.3390779171457474,30.0
69,69,dti:7.7-10.5,0.31971239402090135,9.328043254857316e-08,dti,24.666553061978576,25.0,0.33344693802142444,25.0
70,70,dti:10.5-16.1,0.24114068903202582,3.081427494006784e-05,dti,18.60456370365698,19.0,0.39543629634302135,19.0
71,71,dti:16.1-20.3,0.13983585194803258,0.015818571239533254,dti,10.78866045405055,11.0,0.21133954594944981,11.0
72,72,dti:20.3-21.7,0.12745319837709973,0.03562503916780944,dti,9.83330999824199,10.0,0.16669000175800974,10.0
73,73,dti:21.7-22.4,0.09202782172990734,0.15513129367240602,dti,7.100159988576049,7.0,-0.10015998857604913,7.0
74,74,dti:22.4-35,0.05026290896134467,0.38015508039657053,dti,3.8779000568346857,4.0,0.12209994316531425,4.0
75,75,mths_since_last_delinq:Missing,0.11041227427950649,0.034596272488008055,mths_since_last_delinq,8.518563162212377,9.0,0.4814368377876228,9.0
76,76,mths_since_last_delinq:4-30,0.13694950258768557,0.009475913080308387,mths_since_last_delinq,10.565971903391006,11.0,0.4340280966089942,11.0
77,77,mths_since_last_delinq:31-56,0.18308821533457872,0.0006156961905195363,mths_since_last_delinq,14.125680652461973,14.0,-0.12568065246197335,14.0
78,78,mths_since_last_delinq:>=57,0.1360978991024141,0.0129023470458295,mths_since_last_delinq,10.500268718434588,11.0,0.4997312815654116,11.0
79,79,mths_since_last_record:Missing,0.3208676373118802,7.952856135633109e-05,mths_since_last_record,24.75568276251362,25.0,0.24431723748638134,25.0
80,80,mths_since_last_record:3-20,0.44062362230932745,0.00033472814308308386,mths_since_last_record,33.99513488783825,34.0,0.0048651121617524495,34.0
81,81,mths_since_last_record:21-31,0.35070361478558915,0.001832802565211119,mths_since_last_record,27.057597656257546,27.0,-0.05759765625754554,27.0
82,82,mths_since_last_record:32-80,0.5029434754977116,3.9677982063025345e-09,mths_since_last_record,38.80325616882148,39.0,0.196743831178523,39.0
83,83,mths_since_last_record:81-86,0.17583749390991893,0.08604946179288821,mths_since_last_record,13.5662706699159,14.0,0.4337293300841001,14.0
84,84,mths_since_last_record:>86,0.23269482824930038,0.0057129301320211845,mths_since_last_record,17.952945946424954,18.0,0.047054053575045884,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
